Date,Open,High,Low,Close,Volume
2026-01-30,5.8,6.21,5.702,5.8,8272246
2026-02-02,5.61,6.02,5.5912,5.84,7672633
2026-02-03,6.135,6.2299,5.71,6.04,8131663
2026-02-04,5.985,6.08,5.4,5.61,8518482
2026-02-05,5.385,5.55,5.13,5.175,9856797
2026-02-06,5.35,5.92,5.34,5.87,8307044
2026-02-09,5.75,6.23,5.7,6.21,7681187
2026-02-10,6.11,6.17,5.83,5.84,5462605
2026-02-11,6.0,6.03,5.68,5.83,4901322
2026-02-12,6.0,6.0,5.53,5.65,4651551
2026-02-13,5.65,5.845,5.5,5.58,5452597
2026-02-17,5.49,5.62,5.31,5.52,4453064
2026-02-18,5.58,5.82,5.48,5.58,4036503
2026-02-19,5.41,5.63,5.375,5.57,3201458
2026-02-20,5.47,5.97,5.47,5.69,5205133
2026-02-23,5.57,5.61,5.39,5.52,3166900
2026-02-24,5.625,6.14,5.61,6.11,6431040
2026-02-25,6.2,6.52,6.12,6.36,5488100
2026-02-26,6.26,6.35,5.97,6.24,6540118
2026-02-27,5.99,6.19,5.85,6.0,4699063
2026-03-02,5.98,6.92,5.91,6.91,14381870
2026-03-03,6.57,7.31,6.55,7.04,16840471
2026-03-04,7.21,7.275,6.78,6.86,10075875
2026-03-05,6.58,7.025,6.45,6.65,6489889
2026-03-06,6.49,7.1,6.26,6.28,10095879
2026-03-09,6.1,6.775,6.0,6.69,6958039
2026-03-10,6.71,7.23,6.62,6.99,9620045
2026-03-11,6.96,7.47,6.92,7.44,9779287
2026-03-12,7.65,8.27,7.31,7.44,22425008
2026-03-13,7.5,7.7,6.8,6.83,12457586
2026-03-16,7.13,7.45,6.65,6.91,14326023
2026-03-17,6.765,6.985,6.48,6.57,9938616
2026-03-18,6.49,6.639,6.17,6.18,9564855
2026-03-19,5.95,6.405,5.81,6.23,8405235
2026-03-20,6.11,6.35,5.81,5.93,7778239
2026-03-23,6.0,6.23,5.88,6.06,7664939
2026-03-24,5.912,6.11,5.72,5.74,7767204
2026-03-25,5.85,6.21,5.85,6.1,8746498
2026-03-26,5.94,5.94,5.44,5.49,9738137
2026-03-27,5.42,5.44,5.12,5.19,7918159
2026-03-30,5.23,5.25,4.87,5.08,9109363
2026-03-31,5.39,5.97,5.26,5.94,12889662
2026-04-01,5.99,6.19,5.56,5.6,10133295
2026-04-02,5.34,6.19,5.32,6.11,9542763
2026-04-06,6.105,6.4,6.015,6.08,7737677
2026-04-07,5.92,5.9793,5.67,5.96,7340619
2026-04-08,6.4699,6.5067,6.1,6.22,6990143
2026-04-09,6.19,6.46,6.025,6.08,6834185
2026-04-10,6.24,7.14,6.22,7.04,18197423
2026-04-13,7.125,7.75,7.03,7.3,21557782
2026-04-14,7.5,7.61,6.57,6.71,23226281
2026-04-15,6.885,7.17,6.67,6.97,10703496
2026-04-16,7.04,7.41,7.0,7.34,10409532
2026-04-17,7.505,7.54,7.14,7.26,9873197
2026-04-20,7.315,9.3799,7.315,8.59,45081046
2026-04-21,9.03,11.09,8.98,10.25,59126114
2026-04-22,11.525,12.95,11.31,12.77,84228384
2026-04-23,11.815,12.34,10.77,11.72,45812655
2026-04-24,13.558,15.5,12.4,15.1,78851211
2026-04-27,9.565,10.42,7.5,7.95,199070233
2026-04-28,7.54,8.84,7.54,8.03,81216400
2026-04-29,7.8,7.8,6.37,6.6,70933664
2026-04-30,6.525,7.2,6.38,7.12,29584047
2026-05-01,6.97,7.475,6.69,7.31,25926265
2026-05-04,7.53,7.86,7.07,7.11,33016113
2026-05-05,7.2,9.71,7.0301,9.21,84504553
2026-05-06,9.505,10.12,8.85,9.72,67968406
2026-05-07,9.54,10.3,9.03,9.58,42744832
2026-05-08,9.81,11.83,9.81,10.95,72053317
2026-05-11,12.09,14.36,11.51,13.9,83732599
2026-05-12,13.695,14.97,12.97,13.73,85257867
2026-05-13,14.41,14.75,12.94,14.37,49862597
2026-05-14,17.41,20.81,17.386,20.57,133109935
2026-05-15,18.322,20.27,15.945,15.97,100641642
2026-05-18,17.02,17.17,13.33,14.21,75257957
2026-05-19,13.78,13.83,11.8201,13.07,76703190
2026-05-20,14.75,14.9,13.58,14.78,53364246
2026-05-21,13.99,15.33,13.84,14.82,50762172
2026-05-22,14.925,15.4,14.32,14.59,33765990
2026-05-26,15.07,15.075,13.11,13.35,46121163
2026-05-27,13.005,13.55,12.71,13.28,23521460
2026-05-28,13.065,13.55,12.62,13.26,21122224
2026-05-29,13.055,13.055,11.5,12.29,30965874
2026-06-01,11.98,14.43,11.62,13.89,46537379
2026-06-02,14.51,15.27,13.66,13.82,38634686
2026-06-03,13.86,15.82,13.22,15.38,55617571
2026-06-04,14.395,15.94,13.75,15.475,31907815
2026-06-05,14.55,14.785,11.8,11.9099,57011336
