Date,Open,High,Low,Close,Volume
2026-01-09,12.04,12.685,11.65,11.72,17449603
2026-01-12,11.68,12.13,11.37,12.11,14867922
2026-01-13,12.24,12.4,11.46,11.69,14818226
2026-01-14,11.67,12.54,11.48,12.51,18108436
2026-01-15,12.975,13.3069,12.16,12.18,23407201
2026-01-16,12.315,13.195,12.07,12.7,21206364
2026-01-20,12.14,12.95,11.88,11.93,21124853
2026-01-21,12.18,12.62,10.8249,11.64,28319358
2026-01-22,11.78,12.49,11.7,12.0,18341724
2026-01-23,12.1,12.12,11.15,11.46,17534229
2026-01-26,11.45,11.4597,10.74,10.84,14361616
2026-01-27,10.98,11.43,10.82,11.31,10870362
2026-01-28,11.31,11.53,10.97,11.13,11770250
2026-01-29,11.01,11.038,10.11,10.18,17309928
2026-01-30,10.06,10.24,9.0,9.27,20020696
2026-02-02,9.27,9.37,8.995,9.34,11543177
2026-02-03,9.57,9.725,9.13,9.65,15298458
2026-02-04,9.535,9.535,8.62,9.13,14704472
2026-02-05,8.74,8.89,7.7,7.81,19144094
2026-02-06,8.29,9.665,8.245,9.43,20859989
2026-02-09,9.32,9.58,8.97,9.44,12785695
2026-02-10,9.354,9.68,8.89,8.96,10698843
2026-02-11,9.23,9.23,8.23,8.54,13578614
2026-02-12,8.52,8.52,7.92,8.19,12288003
2026-02-13,8.36,8.585,7.96,8.47,11249189
2026-02-17,8.31,8.365,7.91,8.05,10516771
2026-02-18,8.06,8.45,7.8,8.21,8777735
2026-02-19,8.05,8.31,7.951,8.22,7318322
2026-02-20,8.16,8.2999,7.845,7.9,9106764
2026-02-23,7.76,7.98,7.63,7.88,8357900
2026-02-24,7.81,8.235,7.76,8.11,8739732
2026-02-25,8.22,8.935,8.0901,8.68,14679234
2026-02-26,9.1,9.148,8.605,9.04,17527622
2026-02-27,8.71,8.8,8.11,8.41,12064574
2026-03-02,8.09,8.61,8.04,8.59,12165169
2026-03-03,8.115,8.285,7.695,7.745,14785233
2026-03-04,7.99,8.25,7.85,8.145,13361752
2026-03-05,7.98,8.07,7.58,7.72,13945729
2026-03-06,7.5,8.05,7.41,7.6,12238062
2026-03-09,7.4,7.77,7.2213,7.63,12019247
2026-03-10,7.74,7.95,7.56,7.6,11794195
2026-03-11,7.58,7.855,7.43,7.62,9294395
2026-03-12,7.49,7.55,7.23,7.435,11177946
2026-03-13,7.49,7.69,7.275,7.3,9137068
2026-03-16,7.495,7.67,7.19,7.37,10194126
2026-03-17,7.35,7.575,7.3,7.54,8121046
2026-03-18,7.48,7.505,7.195,7.25,8536771
2026-03-19,7.01,7.3675,6.88,7.19,9823637
2026-03-20,7.07,7.2,6.85,6.96,9311141
2026-03-23,6.975,7.39,6.93,7.34,12101794
2026-03-24,7.2,7.5293,7.07,7.45,8544534
2026-03-25,7.62,7.71,7.14,7.32,8600776
2026-03-26,7.11,7.39,7.1,7.12,6903380
2026-03-27,6.96,7.015,6.63,6.66,9791189
2026-03-30,6.72,6.745,6.18,6.31,8288567
2026-03-31,6.455,6.94,6.455,6.85,13443309
2026-04-01,6.965,7.04,6.61,6.64,8064565
2026-04-02,6.4,6.87,6.34,6.87,7255472
2026-04-06,6.84,7.0791,6.7803,6.86,6271964
2026-04-07,6.73,6.78,6.535,6.77,8096201
2026-04-08,7.38,7.48,6.845,6.93,8430985
2026-04-09,6.86,6.9499,6.75,6.78,5419776
2026-04-10,6.93,7.28,6.87,7.06,7924174
2026-04-13,6.87,7.3,6.78,7.27,7159592
2026-04-14,7.595,8.33,7.522,8.11,23177433
2026-04-15,8.55,9.71,8.41,9.4,43699491
2026-04-16,9.765,9.79,9.01,9.44,33663289
2026-04-17,9.57,9.905,9.345,9.57,22053546
2026-04-20,9.35,9.94,9.28,9.83,19699289
2026-04-21,10.005,10.1,9.39,9.41,18006630
2026-04-22,9.59,10.17,9.5613,9.86,16293621
2026-04-23,9.71,9.895,8.88,9.05,18933580
2026-04-24,9.258,9.27,8.59,8.94,13060032
2026-04-27,8.815,9.12,8.705,9.1,7438709
2026-04-28,8.83,8.88,8.41,8.57,8744651
2026-04-29,8.52,8.52,7.98,8.28,11370449
2026-04-30,8.33,9.085,8.1901,9.02,11042698
2026-05-01,9.01,9.23,8.84,9.21,10240110
2026-05-04,9.15,9.88,9.14,9.5,13368403
2026-05-05,9.585,9.62,9.15,9.56,9078900
2026-05-06,9.7,10.53,9.59,10.46,19566538
2026-05-07,10.055,10.225,9.37,9.63,13437648
2026-05-08,9.815,9.95,9.22,9.6,12800958
2026-05-11,9.492,10.315,9.33,10.18,31560924
2026-05-12,12.7,14.45,11.29,11.78,141078796
2026-05-13,11.695,11.72,10.845,11.03,36152641
2026-05-14,10.81,12.32,10.54,11.73,36851453
2026-05-15,11.24,11.24,10.5,10.505,21801204
2026-05-18,10.5,10.5,9.43,9.715,18177659
2026-05-19,9.55,9.77,9.14,9.22,11586652
2026-05-20,9.32,9.66,9.185,9.56,13615904
2026-05-21,10.47,11.445,10.32,11.41,57198068
2026-05-22,11.615,13.39,11.61,12.31,68053940
2026-05-26,12.475,12.53,11.265,11.68,34034014
2026-05-27,11.55,11.82,11.12,11.42,20366922
2026-05-28,11.395,12.385,11.32,12.24,30904202
2026-05-29,12.0,12.099,11.48,11.96,21438054
2026-06-01,11.67,13.0,11.03,12.39,32254633
2026-06-02,12.245,12.698,11.82,12.25,25479583
2026-06-03,11.95,12.35,11.1703,11.2,22087695
2026-06-04,11.0,11.4078,10.73,11.19,17495286
2026-06-05,10.9,10.9,9.81,9.955,21573416
